store;website;sku;price;special_from_date;special_to_date;special_price
admin;base;0900VI.IND.021;134.71;30/12/99;30/12/99;.00
admin;base;0900VI.IND.027;134.71;30/12/99;30/12/99;.00
admin;base;0900VI.IND.041;134.71;30/12/99;30/12/99;.00
admin;base;0903.ZEB.017;124.79;30/12/99;30/12/99;.00
admin;base;0903.ZEB.044;124.79;23/07/15;30/12/50;62.81
admin;base;0903.ZEB.149;124.79;30/12/99;30/12/99;.00
admin;base;0903VI.IND.018;134.71;30/12/99;30/12/99;.00
admin;base;0906.ZEB.001;124.79;23/07/15;30/12/50;62.81
admin;base;0906.ZEB.017;124.79;23/07/15;30/12/50;62.81
admin;base;0907.ZEB.017;139.67;23/07/15;30/12/50;70.25
admin;base;0907V.041.ZEB;139.67;30/12/99;30/12/99;.00
admin;base;0907V.044.ZEB;139.67;30/12/99;30/12/99;.00
admin;base;090V 009 BLACK;116.53;30/12/99;30/12/99;.00
admin;base;090V 022;116.53;30/12/99;30/12/99;.00
admin;base;090VIS 009;132.23;30/12/99;30/12/99;.00
admin;base;090VIS 053;132.23;30/12/99;30/12/99;.00
admin;base;090VIS 053 YOU;132.23;30/12/99;30/12/99;.00
admin;base;090VL 009;138.02;30/12/99;30/12/99;.00
admin;base;090VL 028;124.79;30/12/99;30/12/99;.00
admin;base;090VR 009;132.23;30/12/99;30/12/99;.00
admin;base;090VR 021;132.23;30/12/99;30/12/99;.00
admin;base;0911.ZEF.044;139.67;30/12/99;30/12/99;.00
admin;base;0911.ZEF.149;139.67;30/12/99;30/12/99;.00
admin;base;0912.009.000;139.67;30/12/99;30/12/99;.00
admin;base;0913.BHS.022;139.67;30/12/99;30/12/99;.00
admin;base;0913V.009.000;139.67;30/12/99;30/12/99;.00
admin;base;0913V.021.000;139.67;30/12/99;30/12/99;.00
admin;base;0914.005.000;139.67;30/12/99;30/12/99;.00
admin;base;0914.143.000;139.67;30/12/99;30/12/99;.00
admin;base;0916ZV043043;140.50;;;
admin;base;0919V071CNG;128.93;;;
admin;base;0919VR043120;146.28;;;
admin;base;0922V009000;128.93;;;
admin;base;0923V071CNG;128.93;;;
admin;base;0924V043000;128.93;;;
admin;base;096VR 009;132.23;30/12/99;30/12/99;.00
admin;base;096VR 053;132.23;30/12/99;30/12/99;.00
admin;base;0PO0714 24/57 ;200.83;27/11/14;30/12/50;100.83
admin;base;0PO0714 95/4N54;208.26;30/12/99;30/12/99;.00
admin;base;0PO9649S 24/57;171.07;27/11/14;30/12/50;85.12
admin;base;0PO9649S 95/58;171.07;01/12/14;30/12/50;85.95
admin;base;100--;242.15;30/12/99;30/12/99;.00
admin;base;1000455002;495.04;30/12/99;30/12/99;.00
admin;base;1000456002;495.04;30/12/99;30/12/99;.00
admin;base;1000457002;495.04;30/12/99;30/12/99;.00
admin;base;10018BABILON;267.77;18/01/16;31/12/50;161.16
admin;base;1001DS35018003X;1198.35;18/01/16;31/12/50;599.17
admin;base;100270005980D;32.23;15/06/15;31/12/50;16.53
admin;base;1005BSP DG;251.24;15/10/13;31/12/50;188.43
admin;base;1007SP14BLACK;779.34;18/01/16;31/12/50;390.08
admin;base;1007SP14WHITE;779.34;18/01/16;31/12/50;390.08
admin;base;10094BEIGE;245.45;18/01/16;31/12/50;147.93
admin;base;10098BLACKTOY;257.02;18/01/16;31/12/50;154.55
admin;base;10098WHITETOY;257.02;18/01/16;31/12/50;154.55
admin;base;101--;289.26;30/12/99;30/12/99;.00
admin;base;101110007533779;264.46;30/12/99;30/12/99;.00
admin;base;101130007544765;285.12;30/12/99;30/12/99;.00
admin;base;101200007569999;657.02;30/12/99;30/12/99;.00
admin;base;1013DC08188086X;490.91;18/01/16;31/12/50;245.45
admin;base;1013DC36212003X;573.55;18/01/16;31/12/50;286.78
admin;base;10145BLACK;247.11;18/01/15;31/12/50;173.55
admin;base;101472F15374;1553.72;18/01/16;31/12/50;776.86
admin;base;10224J203451008;207.44;;;
admin;base;102251F15374;776.86;18/01/16;31/12/50;388.43
admin;base;102501;17.36;30/12/99;30/12/99;.00
admin;base;103468F15374;574.38;18/01/16;31/12/50;287.60
admin;base;103499R16111;448.76;;;
admin;base;103515R16002;409.92;;;
admin;base;103518R16111;448.76;;;
admin;base;103531R16111;567.77;;;
admin;base;105238P15374;1641.32;18/01/16;31/12/50;820.66
admin;base;105240P15384;1121.49;18/01/16;31/12/50;561.16
admin;base;1054DT GBR;260.33;15/10/13;31/12/50;195.04
admin;base;1055S ZUGN;292.56;15/10/13;31/12/50;219.83
admin;base;1058B DG;288.43;30/12/99;30/12/99;.00
admin;base;1058DT GBR;260.33;15/10/13;31/12/50;195.04
admin;base;106610P15C385;654.55;18/01/16;31/12/50;327.27
admin;base;106618P15C385;834.71;18/01/16;31/12/50;417.36
admin;base;106659F15374;859.50;18/01/16;31/12/50;429.75
admin;base;106696F15374;1293.39;18/01/16;31/12/50;647.11
admin;base;106708R16111;633.06;;;
admin;base;106710R16111;1047.11;;;
admin;base;108130F15489;1553.72;18/01/16;31/12/50;776.86
admin;base;109699R16002;633.06;;;
admin;base;109723R16921;177.69;;;
admin;base;109723R16922;177.69;;;
admin;base;1100FL15MULTI;1704.13;18/01/16;31/12/50;852.07
admin;base;11117 B1;770.25;20/06/14;31/12/50;385.12
admin;base;111334;127.27;15/06/15;31/12/50;76.86
admin;base;111351;127.27;15/06/15;31/12/50;76.86
admin;base;112008P15C374;357.02;18/01/16;31/12/50;178.51
admin;base;112071P15374;407.44;18/01/16;31/12/50;204.13
admin;base;11245BLACK;354.55;18/01/15;31/12/50;248.76
admin;base;1124MOZBDPFLP;371.90;30/12/99;30/12/99;.00
admin;base;112BLUE;392.56;15/06/15;31/12/50;196.69
admin;base;115042R16002;385.95;;;
admin;base;115067R16002;681.82;;;
admin;base;116 001;95.04;30/12/99;30/12/99;.00
admin;base;116 027;95.04;30/12/99;30/12/99;.00
admin;base;116009P15C374;610.74;18/01/16;31/12/50;305.79
admin;base;116009P15C379;603.31;18/01/16;31/12/50;301.65
admin;base;116041R16002;384.30;30/12/99;30/12/99;.00
admin;base;116072P15374;627.27;18/01/16;31/12/50;314.05
admin;base;116074R16600;630.58;;;
admin;base;1160BNOCO;326.45;30/12/99;30/12/99;.00
admin;base;1182JSDBRZ;326.45;30/12/99;30/12/99;.00
admin;base;1182RBGDRPGM;409.09;30/12/99;30/12/99;.00
admin;base;119013P15C020;446.28;18/01/16;31/12/50;223.14
admin;base;119014P15C020;496.69;18/01/16;31/12/50;248.76
admin;base;119019R16141;448.76;;;
admin;base;119045R16002;318.18;;;
admin;base;119045R16141;318.18;;;
admin;base;119069P15374;587.60;18/01/16;31/12/50;294.21
admin;base;119110F15374;758.68;18/01/16;31/12/50;379.34
admin;base;120234;167.77;15/06/15;31/12/50;100.83
admin;base;120251RED;167.77;15/06/15;31/12/50;100.83
admin;base;120534BLUE;127.27;15/06/15;31/12/50;76.86
admin;base;120834BLUE;150.41;15/06/15;31/12/50;90.91
admin;base;1208B00;150.41;15/06/15;31/12/50;90.91
admin;base;120J24558;238.84;;;
admin;base;120M03300;619.83;18/01/16;31/12/50;309.92
admin;base;12124;598.35;09/01/15;31/12/50;299.17
admin;base;1215N;104.13;30/12/99;30/12/99;.00
admin;base;121SMOKE;483.47;18/01/15;31/12/50;338.84
admin;base;1249099;122.31;30/12/99;30/12/99;.00
admin;base;1249100;122.31;27/11/14;30/12/50;61.16
admin;base;1249101;122.31;27/11/14;30/12/50;61.16
admin;base;1249102;122.31;27/11/14;30/12/50;61.16
admin;base;1249103;122.31;27/11/14;30/12/50;61.16
admin;base;1249104;122.31;27/11/14;30/12/50;61.16
admin;base;1249105;122.31;27/11/14;30/12/50;61.16
admin;base;1249106;122.31;27/11/14;30/12/50;61.16
admin;base;1249107;122.31;01/12/14;30/12/50;61.16
admin;base;1249108;122.31;27/11/14;30/12/50;61.16
admin;base;1249109;122.31;27/11/14;31/12/50;61.16
admin;base;1249110;122.31;27/11/14;30/12/50;61.16
admin;base;1249562;122.31;27/11/14;30/12/50;61.16
admin;base;1249565;122.31;27/11/14;30/12/50;61.16
admin;base;1249610;122.31;27/11/14;30/12/50;61.16
admin;base;1249611;122.31;27/11/14;30/12/50;61.16
admin;base;1249612;122.31;27/11/14;30/12/50;61.16
admin;base;1249613;122.31;27/11/14;30/12/50;61.16
admin;base;1249614;122.31;27/11/14;30/12/50;61.16
admin;base;1249615;122.31;27/11/14;30/12/50;61.16
admin;base;1249616;122.31;27/11/14;30/12/50;61.16
admin;base;1249617;122.31;27/11/14;30/12/50;61.16
admin;base;1249618;122.31;27/11/14;30/12/50;61.16
admin;base;1249619;122.31;27/11/14;30/12/50;61.16
admin;base;1249620;122.31;27/11/14;30/12/50;61.16
admin;base;1249621;122.31;27/11/14;30/12/50;61.16
admin;base;128426;280.99;30/12/99;30/12/99;.00
admin;base;1291EC29018001X;818.18;18/01/16;31/12/50;409.09
admin;base;1303DH14212001X;823.14;18/01/16;31/12/50;411.57
admin;base;1303DH14212003X;823.14;18/01/16;31/12/50;411.57
admin;base;1303DX12212001X;490.91;18/01/16;31/12/50;245.45
admin;base;1303SL16174086X;290.08;18/01/16;31/12/50;145.45
admin;base;1303SL1674100XX;290.08;18/01/16;31/12/50;145.45
admin;base;130451;295.04;15/06/15;31/12/50;177.69
admin;base;130J610099;214.88;18/01/16;31/12/50;107.44
admin;base;1310713573369;1231.40;15/06/15;31/12/50;615.70
admin;base;13140 PBA5743 N;204.96;30/12/99;30/12/99;.00
admin;base;13140 PBAMB4 NB;204.96;30/12/99;30/12/99;.00
admin;base;13140 SA1851 NR;175.21;30/12/99;30/12/99;.00
admin;base;13140 SA7548 NY;175.21;30/12/99;30/12/99;.00
admin;base;13140 SAT1 NK;190.08;30/12/99;30/12/99;.00
admin;base;13140 SAT2 NK;190.08;30/12/99;30/12/99;.00
admin;base;13140 SAW2 NW;175.21;30/12/99;30/12/99;.00
admin;base;13235COBALTBLUE;271.07;18/01/16;31/12/50;190.08
admin;base;13235RUBYRED;228.10;18/01/15;31/12/50;160.33
admin;base;13240 SA4892 NP;100.83;30/12/99;30/12/99;.00
admin;base;13241BLACK;287.60;18/01/15;31/12/50;201.65
admin;base;13241COBALTBLUE;338.02;18/01/15;31/12/50;237.19
admin;base;13241GREY;287.60;18/01/15;31/12/50;201.65
admin;base;13241RUBYRED;287.60;18/01/15;31/12/50;201.65
admin;base;13341BLACK;455.37;18/01/15;31/12/50;319.01
admin;base;13341COBALTBLUE;455.37;18/01/15;31/12/50;319.01
admin;base;13425;86.78;30/12/99;30/12/99;.00
admin;base;1344SS22174100X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS29174100X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS29174237X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS30174086X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS33174100X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS38018077X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS38174100X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS49174086X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS77018189X;44.63;30/12/99;30/12/99;.00
admin;base;1344SS81192240X;124.79;30/12/99;30/12/99;.00
admin;base;1344SS92018077X;124.79;30/12/99;30/12/99;.00
admin;base;1350DH02227190X;1484.30;18/01/16;31/12/50;742.15
admin;base;1354DH05018003X;1484.30;18/01/16;31/12/50;742.15
admin;base;1400M10182;619.83;18/01/16;31/12/50;309.92
admin;base;14085 25814;131.40;30/12/99;30/12/99;.00
admin;base;14085 25822;231.40;30/12/99;30/12/99;.00
admin;base;14085 25822-;231.40;30/12/99;30/12/99;.00
admin;base;14096 27233;161.98;30/12/99;30/12/99;.00
admin;base;141031117430;735.54;18/01/16;31/12/50;367.77
admin;base;141032027430;322.31;18/01/16;31/12/50;161.16
admin;base;1410351010001;1561.98;18/01/16;31/12/50;780.99
admin;base;14106324NB001;371.90;18/01/16;31/12/50;185.95
admin;base;14109310PA425;404.96;18/01/16;31/12/50;202.48
admin;base;14110310QA100;404.96;18/01/16;31/12/50;202.48
admin;base;14112234UA986;371.90;18/01/16;31/12/50;185.95
admin;base;14112350UA986;537.19;18/01/16;31/12/50;268.60
admin;base;14140 PBAMTS5 N;204.96;30/12/99;30/12/99;.00
admin;base;14140 PRAT1 NB;204.96;30/12/99;30/12/99;.00
admin;base;14140 SANB2 NNB;175.21;30/12/99;30/12/99;.00
admin;base;14180890ZB434;404.96;18/01/16;31/12/50;202.48
admin;base;14182833SA018;735.54;18/01/16;31/12/50;367.77
admin;base;1422513127007;1231.40;18/01/16;31/12/50;615.70
admin;base;1422914568498;1148.76;18/01/16;31/12/50;574.38
admin;base;1422922868498;487.60;18/01/16;31/12/50;243.80
admin;base;1422944268498;1644.63;18/01/16;31/12/50;822.31
admin;base;14251 25815;159.50;14/12/12;31/12/50;159.50
admin;base;14251 25822;178.51;14/12/12;14/12/50;178.51
admin;base;143292553079715;363.64;18/01/16;31/12/50;290.91
admin;base;143292953079532;363.64;18/01/16;31/12/50;290.91
admin;base;144464412989;2727.27;18/01/16;31/12/50;1363.64
admin;base;14523031MB001;206.61;18/01/16;31/12/50;103.31
admin;base;14523031MB120;206.61;18/01/16;31/12/50;103.31
admin;base;14523054MH477;322.31;18/01/16;31/12/50;161.16
admin;base;148042418450;487.60;18/01/16;31/12/50;243.80
admin;base;1480453971450;1231.40;18/01/16;31/12/50;615.70
admin;base;1480454216450;1561.98;18/01/16;31/12/50;780.99
admin;base;14907232C8986;1239.67;18/01/16;31/12/50;619.83
admin;base;14A1010381;2715.70;09/01/15;31/12/50;814.88
admin;base;14P4007374;1350.41;20/06/14;31/12/50;809.92
admin;base;14P4705440;1298.35;20/06/14;31/12/50;779.34
admin;base;14P5005364;663.64;20/06/14;31/12/50;398.35
admin;base;14U6712405;687.60;20/06/14;31/12/50;412.40
admin;base;15-00743MNAVYST;382.64;15/06/15;31/12/50;191.74
admin;base;15-00775MOFFWHI;400.00;15/06/15;31/12/50;200.00
admin;base;15-00787MBLUE;137.19;15/06/15;31/12/50;68.60
admin;base;15-00795MLBLUE;347.11;15/06/15;31/12/50;173.55
admin;base;15-00797MNAVYGR;611.57;15/06/15;31/12/50;305.79
admin;base;15018PINKBLACK;344.63;15/06/15;31/12/50;172.73
admin;base;15027PINKBLACK;333.06;15/06/15;31/12/50;166.94
admin;base;15045BLACK;448.76;15/06/15;31/12/50;224.79
admin;base;1551BT;481.82;30/12/99;30/12/99;.00
admin;base;15A0001050280;1396.69;18/01/16;31/12/50;698.35
admin;base;15A0009210001;2066.12;18/01/16;31/12/50;1033.06
admin;base;15A1612659001;3297.52;18/01/16;31/12/50;1648.76
admin;base;15A2708456001;2305.79;18/01/16;31/12/50;1152.89
admin;base;15A2714439001;1066.12;18/01/16;31/12/50;533.06
admin;base;15A3009210100;1611.57;18/01/16;31/12/50;805.79
admin;base;15A4002388001;1148.76;18/01/16;31/12/50;574.38
admin;base;15A4704429004;818.18;18/01/16;31/12/50;409.09
admin;base;15A5107360001;1033.06;18/01/16;31/12/50;516.53
admin;base;15A56450384CORA;1400.00;18/01/15;31/12/50;980.17
admin;base;15A56450387BLAC;490.91;18/01/15;31/12/50;343.80
admin;base;15A56450387CORA;490.91;18/01/15;31/12/50;343.80
admin;base;15A56450681CORA;867.77;18/01/15;31/12/50;607.44
admin;base;15A57350363BLAC;970.25;18/01/15;31/12/50;679.34
admin;base;15A57350440BLAC;867.77;18/01/15;31/12/50;607.44
admin;base;15A58750445BLAC;1611.57;18/01/15;31/12/50;1128.10
admin;base;15A58750445WHIT;1611.57;18/01/15;31/12/50;1128.10
admin;base;15A58750446BLAC;2145.45;18/01/15;31/12/50;1502.48
admin;base;15A58750678BLAC;1302.48;18/01/15;31/12/50;912.40
admin;base;15A58750704BLAC;867.77;18/01/15;31/12/50;607.44
admin;base;15A65150705RED;1611.57;18/01/15;31/12/50;1128.10
admin;base;15A6574427AWHIT;575.21;18/01/15;31/12/50;403.31
admin;base;15A65850720BLAC;1070.25;18/01/15;31/12/50;749.59
admin;base;15A7706499206;371.90;18/01/16;31/12/50;185.95
admin;base;15A7726497001;619.83;18/01/16;31/12/50;309.92
admin;base;15A7811584001;1149.59;18/01/16;31/12/50;575.21
