"Dutch","N�erlandais"
"Show the gateway image if it exists in front of the title", "Afficher le logo de la plateforme s'il existe"
"Show iDEAL banklist in checkout", "iDEAL: Monter la liste des banques sur la page de finalisation de la commande"
"Account ID (for Test Accounts)", "Identifiant du compte Test"
"Site ID (for Test Accounts)", "Identifiant du Site (du compte Test)"
"Site Code (for Test Accounts)", "Code confidentiel du site (du compte Test)"
"Days active before requests expires?", "Nombre de jours avant qu'une transaction expire?"
"Enable the invoice e-mail for this payment method?", "Autoriser l'envoie de la facture pour ces m�thodes de paiement?"
"Payment fee description", visible in order totals", "Description des frais de paiement visible dans les totals de la commande."
"Enable IP validation", "Activer la validation par IP?"
"Only visible for the following IP address", "Visible uniquement pour l'adresse IP suivante"
"You can add multiple addresses seperated by ;", "Vous pouvez ajouter plusieurs adresses IP", s�par�es par un;"
"Only visible for the following IP address (for Test Account)"", "Visible uniquement pour l'adresse IP suivante (pour le compte Test)"
"Enable Test Account for these IP(s) when enabled Live Account", "Activer comme compte test pour ces adresses IP lorsque le compte est en mode LIVE"
"You can add multiple addresses separated by ;. Feature enabled only when \'Type account\' set \'Live account\'", "Vous pouvez ajouter plusieurs adresses IP", s�par�es par un; Option disponible seulement quand le compe est en mode LIVE" "
"Send request after complete order", "Envoyer la demande apr�s avoir compl�t� la commande" "
"Request will be send after update statuse to Complete for PAD only", "La demande sera envoy�e quand l'�tat changera � Compl�t�", seulement pour PAD"
"Use for refund?", "Les remboursements permettent de cr�er une note de cr�dit?"
"Enable direct banktransfer (no MultiSafepay page)", " Activer virement bancaire direct", le client ne verra pas la page de MultiSafepay"
"Send new account email", "Envoyer un email pour nouveau compte"
"Send the new account email when a customer account is created after using Fast Checkout", "Envoyer un email que le client se cr�er un nouveau compte pour l'utilisation de Fast Checkout"
"Automatic login", "Connexion automatique?"
"Login the customer after returning from Fast Checkout ", "Reconnecter  le client au retour de Fast Checkout?"
"Let the customer redirect to their account page", "Rediriger le client � sa page de compte apr�s le paiement?"
"Company name", "Nom de l'entreprise"
"Birthday", "Date de naissance"
"Chamber of Commerce (CoC/KvK)", "Num�ro de registre  de l'entreprise (SIRET", SIREN", etc.)"
"VAT number", "Num�ro de TVA"
"Passport number", "Num�ro de passeport"
"Drivers license", "Num�ro du Permit de conduire"
"Sex", "Genre"
"Cart remains active when the customer returns to the webshop or cancels an order", "Panier reste actif lorsque le client retourne � la boutique ou annule le paiement"
"Fee in EURO. Example 2.95 (2.95 is the maximum)", "Frais en Euro. Par exemple 2.95 (2.95 est le maximum autoris�)"
"Enable fee (inc. Tax)", "Ajouter les frais (TVA inclus)"
"Payment fee amount", "Frais du paiement"
"Show payment fee incl. tax during checkout", "Montrer les frais de paiement", TVA inclus � la confirmation du panier"
"Tax class for payment fee", "Type de TVA pour les frais de paiement"
"Select which tax class should be used for the payment fee", "Selectioner le type de TVA pour les frais de paiement"
"Title", "Titre"
"Enabled", "Activ�"
"Instructions", "Instructions"
"Maximum Order Total", "Total Maximum pour commander"
"Payment fee description, visible in order totals", "Description des frais de paiement, visible sur le total de la commande"
"Sort order", "Choisir l'ordre"
"API Key", "Cl� API"
"One Step Checkout", "Checkout en 1 clic"
"Account type", "Type de Compte"
"Minimum Order Total", "Total minimum pour commander"
"Send shipped status after complete order", "Modifier l'�tat de l'envoi apr�s compl�ter la commande"
"Enable", "Activer"
"Account", "Compte"
"Newsletter", "Newsletter"
"Comment", "Commentaire"
"Type account", "Type de Compte"
"@"," @ "
"Order", "Order"
"You are not allowed to request the product feed!", "You are not allowed to request the product feed!"
"Please retry placing your order and select a different payment method.", "U kunt uw order nog steeds afronden door te kiezen voor een andere betaalmethode."
"We are sorry to inform you that your request for payment after delivery has been denied by Multifactor.<BR /> If you have questions about this rejection, you can checkout the FAQ on the website of Multifactor", "Het spijt ons u te moeten informeren dat u Betaal na Ontvangst verzoek niet is geaccepteerd door Multifactor.<BR /> Mocht u vragen hebben over uw afwijzing, dan kunt u de  FAQ op de website van  Multifactor"
"You can also contact Multifactor by calling 020-8500533 (at least 2 hours after this rejection) or by sending an email to "," raadplegen. U kunt tevens contact opnemen met Multifactor via telefoonnummer 020-8500533 (Minimaal 2 uur na de afwijzing) of door het sturen van een e-mail naar: "

